"maximumDepthInMeters"	"magnification"	"minimumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"taxonRank"	"lifeStage"
50	60	50	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"3-7um"	2009	"Alkekonge2009"	"KB5"	"ALK09-1"	"Flagellatae"	"Occurrence"	4238.24458598726	4	0.0009437869662418822	"l"	"present"	"verified"	314	16635.11	50	1000	1	211.912229299363	"Niskin bottle"	"phytoplankton"			
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.gracilentum"	2009	"Alkekonge2009"	"KB5"	"ALK09-1"		"Occurrence"	1059.56114649682	1	0.0009437869662418822	"l"	"present"	"verified"	314	16635.11	50	1000	1	52.9780573248408	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"species"	
25	60	25	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-4"		"Occurrence"	1630.8931372549	1	0.0006131609589596943	"l"	"present"	"verified"	204	16635.11	50	1000	1	81.5446568627451	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
25	60	25	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"3-7um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-4"	"Flagellatae"	"Occurrence"	4892.67941176471	3	0.0006131609589596943	"l"	"present"	"verified"	204	16635.11	50	1000	1	244.633970588235	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.gracilentum"	2009	"Alkekonge2009"	"Kb5"	"ALK09-4"		"Occurrence"	1630.8931372549	1	0.0006131609589596943	"l"	"present"	"verified"	204	16635.11	50	1000	1	81.5446568627451	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"species"	
25	60	25	"iopan.pl"	"cells/l"	"Gymnodinium simplex"		2009	"Alkekonge2009"	"Kb5"	"ALK09-4"		"Occurrence"	3261.7862745098	2	0.0006131609589596943	"l"	"present"	"verified"	204	16635.11	50	1000	1	163.08931372549	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	6472.80544747082	5	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	323.640272373541	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Dinobryon"	"cyst"	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"	"Dinobryon spp. cyst"	"Occurrence"	2589.12217898833	2	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	129.456108949416	"Niskin bottle"	"phytoplankton"	"spp."	"species"	"cyst"
10	60	10	"iopan.pl"	"cells/l"	"Coccolithales"	"Non det."	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"	"Coccolithales  Non det."	"Occurrence"	2589.12217898833	2	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	129.456108949416	"Niskin bottle"	"phytoplankton"	"indet."		
10	60	10	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	15534.73307393	12	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	776.736653696498	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Didinium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	1294.56108949416	1	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	64.7280544747082	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"7-10um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"	"Flagellatae"	"Occurrence"	6472.80544747082	5	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	323.640272373541	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"3-7um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"	"Flagellatae"	"Occurrence"	9061.92762645915	7	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	453.096381322957	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.gracilentum"	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	14240.1719844358	11	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	712.00859922179	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"species"	
