"maximumDepthInMeters"	"magnification"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationRemarks"	"taxonRank"	"minimumDepthInMeters"	"occurrenceRemarks"	"lifeStage"	"verbatimTaxon"	"organismRemarks"
0	10	"iopan.pl"	"cells/l"	"Ciliophora"	"indet."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-15"	"Ciliophora non det"	"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"							
0	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-15"	"Gymnodinium sp. 20-30um"	"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"	"sp. 20-30um"	"species"					
0	10	"iopan.pl"	"cells/l"	"Katodinium glaucum"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-15"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"							
0	40	"iopan.pl"	"cells/l"	"Micracanthodinium claytonii"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-15"		"Occurrence"	520.055457227139	2	0.003845743703303709	"l"	"present"	"verified"	339	4407.47	50	1000	1	26.0027728613569	"Niskin bottle"	"phytoplankton"							
0	10	"iopan.pl"	"cells/l"	"Protoperidinium cerasus"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-15"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"							
0	10	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-15"		"Occurrence"	176.224657534247	2	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	8.81123287671233	"Niskin bottle"	"phytoplankton"							
0	10	"iopan.pl"	"cells/l"	"Didinium"	"sp."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-15"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
5	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-16"	"Gymnodinium sp. 20-30um"	"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"	"sp. 20-30um"	"species"	5				
5	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-16"	"Gymnodinium sp. 30-40um"	"Occurrence"	352.449315068493	4	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	17.6224657534247	"Niskin bottle"	"phytoplankton"	"sp. 30-40um"	"species"	5				
5	10	"iopan.pl"	"cells/l"	"Katodinium glaucum"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-16"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"			5				
5	10	"iopan.pl"	"cells/l"	"Protoperidinium bipes"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-16"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"			5				
5	10	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-16"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"			5				
5	10	"iopan.pl"	"cells/l"	"Parafavella obtusangula"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-16"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"			5				
5	10	"iopan.pl"	"cells/l"	"Strombidium"	"sp."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-16"		"Occurrence"	88.1123287671233	1	0.011349149591119679	"l"	"present"	"verified"	73	321.61	50	1000	1	4.40561643835617	"Niskin bottle"	"phytoplankton"	"sp."	"species"	5				
10	10	"iopan.pl"	"cells/l"	"Gyrodinium"	"sp. cf. G. spirale"	2010	"Alkekonge2010"	"HG-IV"	"ALK10-17"		"Occurrence"	84.6342105263158	1	0.011815552998973912	"l"	"present"	"verified"	76	321.61	50	1000	1	4.23171052631579	"Niskin bottle"	"phytoplankton"	"sp. cf g.spirale"	"species"	10				
10	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-17"	"Gymnodinium sp. 20-30um"	"Occurrence"	169.268421052632	2	0.011815552998973912	"l"	"present"	"verified"	76	321.61	50	1000	1	8.46342105263158	"Niskin bottle"	"phytoplankton"	"sp. 20-30um"	"species"	10				
10	10	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-17"		"Occurrence"	84.6342105263158	1	0.011815552998973912	"l"	"present"	"verified"	76	321.61	50	1000	1	4.23171052631579	"Niskin bottle"	"phytoplankton"			10				
25	40	"iopan.pl"	"cells/l"	"Algirosphaera robusta"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"		"Occurrence"	8565.12388663968	24	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	428.256194331984	"Niskin bottle"	"phytoplankton"			25				
25	40	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Biflagellatae"	"Occurrence"	2855.04129554656	8	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	142.752064777328	"Niskin bottle"	"phytoplankton"	"3-7um"		25				
25	40	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Biflagellatae"	"Occurrence"	3211.92145748988	9	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	160.596072874494	"Niskin bottle"	"phytoplankton"	"7-10um"		25				
25	40	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Biflagellatae"	"Occurrence"	3211.92145748988	9	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	160.596072874494	"Niskin bottle"	"phytoplankton"	"> 7um"		25				
25	40	"iopan.pl"	"cells/l"	"Chlorophyceae"	"indet."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Chlorophyceae non det."	"Occurrence"	713.76032388664	2	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	35.688016194332	"Niskin bottle"	"phytoplankton"	"„słoneczko”"		25				
25	40	"iopan.pl"	"cells/l"	"Choanoflagellida"	"indet."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Choanoflagellida non det."	"Occurrence"	3211.92145748988	9	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	160.596072874494	"Niskin bottle"	"phytoplankton"			25				
25	40	"iopan.pl"	"cells/l"	"Commation cryoporinum"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"		"Occurrence"	356.88016194332	1	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	17.844008097166	"Niskin bottle"	"phytoplankton"	"sp. cf c.cryoporinum"		25				
25	40	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Cryptomonas sp. >10um"	"Occurrence"	10349.5246963563	29	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	517.476234817814	"Niskin bottle"	"phytoplankton"	"sp. >10um"	"species"	25				
25	40	"iopan.pl"	"cells/l"	"Cryptophyceae"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Cryptophyceae 10-20um"	"Occurrence"	1070.64048582996	3	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	53.532024291498	"Niskin bottle"	"phytoplankton"	"10-20um"		25				
25	40	"iopan.pl"	"cells/l"	"Dinobryon balticum"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"		"Occurrence"	356.88016194332	1	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	17.844008097166	"Niskin bottle"	"phytoplankton"			25				
25	40	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Flagellatae"	"Occurrence"	6780.72307692308	19	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	339.036153846154	"Niskin bottle"	"phytoplankton"	"3-7um"		25				
25	40	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Flagellatae"	"Occurrence"	18200.8882591093	51	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	910.044412955466	"Niskin bottle"	"phytoplankton"	"> 7um"		25				
25	40	"iopan.pl"	"cells/l"	"Gymnodiniales"	"indet."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Gymnodiniales indet. < 10 um"	"Occurrence"	356.88016194332	1	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	17.844008097166	"Niskin bottle"	"phytoplankton"	"< 10 um"		25				
25	40	"iopan.pl"	"cells/l"	"Gymnodiniales"	"indet."	2010	"Alkekonge2010"	"HG-IV"	"ALK10-18"	"Gymnodiniales indet.  10-20um"	"Occurrence"	5353.2024291498	15	0.0028020610463599296	"l"	"present"	"verified"	247	4407.47	50	1000	1	267.66012145749	"Niskin bottle"	"phytoplankton"	"10-20 um"		25				
