"number"	"depth_m_distance_from_cm"	"magnification"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"lifeStage"	"identificationQualifier"	"taxonRank"	"add"	"foto"	"verbatimTaxon"	"organismRemarks"	"occurrenceRemarks"	"organismScope"
82	0	10	"MR"	"cells/l"	"Chaetoceros decipiens"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2473.9231	20	0.008084325736140045	"l"	"present"	"verified"	52	321.61	50	1000	1	123.7	"Niskin bottle"	"phytoplankton"										
82	0	10	"MR"	"cells/l"	"Chaetoceros debilis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	3339.7962	27	0.008084325736140045	"l"	"present"	"verified"	52	321.61	50	1000	1	166.99	"Niskin bottle"	"phytoplankton"										
82	0	10	"MR"	"cells/l"	"Chaetoceros furcellatus"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	214835.48	334	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	10741.77	"Niskin bottle"	"phytoplankton"										
82	0	10	"MR"	"cells/l"	"Chaetoceros socialis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	443821.8	690	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	22191.09	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Chaetoceros socialis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	21123.9492	8	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	1056.2	"Niskin bottle"	"phytoplankton"	"Chaetoceros socialis spores"	"spores"								
82	0	60	"MR"	"cells/l"	"Conticribra"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	39.7049	1	0.025185784024128605	"l"	"present"	"verified"	162	321.61	50	1000	1	1.99	"Niskin bottle"	"phytoplankton"			"sp. cf. C.weissflogii"	"species"						
82	0	10	"MR"	"cells/l"	"Fragilariopsis cylindrus"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	176242.28	274	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	8812.11	"Niskin bottle"	"phytoplankton"	"Fragilariopsis cylindrus/oceanica"	"hypnospores"								
82	0	10	"MR"	"cells/l"	"Fragilariopsis oceanica"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	196825.32	306	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	9841.27	"Niskin bottle"	"phytoplankton"										
82	0	10	"MR"	"cells/l"	"Porosira glacialis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	6432.2	10	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	321.61	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Pseudo-nitzschia granii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	39607.4048	15	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	1980.37	"Niskin bottle"	"phytoplankton"										
