"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"add"	"lifeStage"	"identificationRemarks"	"foto"
10	60	"AT"	10	"cells/l"	"Algirosphaera"	"sp."	2017	"GlacierFront2017"	"Cc3"	"PHT-025"	"species"	"Occurrence"	914.017032967033	1	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	45.7008516483517	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Eutreptiella"	"sp."	2017	"GlacierFront2017"	"Cc3"	"PHT-025"	"species"	"Occurrence"	1039694.375	50	0.0000480910556046819	"l"	"present"	"verified"	16	16635.11	50	1000	1	51984.71875	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Eukaryota incertae sedis"	"indet."	2017	"GlacierFront2017"	"Cc3"	"PHT-025"		"Occurrence"	914.017032967033	1	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	45.7008516483517	"Niskin bottle"	"phytoplankton"	"Flagellates"				
10	60	"AT"	10	"cells/l"	"Gymnodinium galeatum"		2017	"GlacierFront2017"	"Cc3"	"PHT-025"		"Occurrence"	914.017032967033	1	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	45.7008516483517	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Gymnodinium"	"sp."	2017	"GlacierFront2017"	"Cc3"	"PHT-025"	"species"	"Occurrence"	7312.13626373626	8	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	365.606813186813	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"				
10	60	"AT"	10	"cells/l"	"Gymnodinium"	"sp. cf. G. wulffii"	2017	"GlacierFront2017"	"Cc3"	"PHT-025"	"species"	"Occurrence"	914.017032967033	1	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	45.7008516483517	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Oxyrrhis"	"sp."	2017	"GlacierFront2017"	"Cc3"	"PHT-025"	"species"	"Occurrence"	1828.03406593407	2	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	91.4017032967033	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Prorocentrum cordatum"		2017	"GlacierFront2017"	"Cc3"	"PHT-025"		"Occurrence"	914.017032967033	1	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	45.7008516483517	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Pyramimonas"	"sp."	2017	"GlacierFront2017"	"Cc3"	"PHT-025"	"species"	"Occurrence"	3656.06813186813	4	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	182.803406593407	"Niskin bottle"	"phytoplankton"					
10	60	"AT"	10	"cells/l"	"Teleaulax"	"sp."	2017	"GlacierFront2017"	"Cc3"	"PHT-025"	"species"	"Occurrence"	1828.03406593407	2	0.0010940715150065132	"l"	"present"	"verified"	364	16635.11	50	1000	1	91.4017032967033	"Niskin bottle"	"phytoplankton"					
