"maximumDepthInMeters"	"Class_phylum"	"minimumDepthInMeters"	"identifiedBy"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"occurrenceStatus"	"occurrenceRemarks"	"quantificationStatus"	"gear"	"identificationQualifier"	"taxonRank"	"previousIdentifications"	"size_class_m"	"lifeStage"
20	"Chrysophyceae"	20	"iopan.pl"	"Dinobryon balticum"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Chrysophyceae"	20	"iopan.pl"	"Dictyocha speculum"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Ciliophora"	20	"iopan.pl"	"Parafavella obtusangula"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Ciliophora"	20	"iopan.pl"	"Strombilidium"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"		"sp."	"species"			
20	"Ciliophora"	20	"iopan.pl"	"Mesodinium rubrum"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"				"Myrionecta rubra"		
20	"Ciliophora"	20	"iopan.pl"	"Acanthostomella norvegica"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Ciliophora"	20	"iopan.pl"	"Strombidium"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"		"sp."	"species"			
20	"Ciliophora"	20	"iopan.pl"	"Eutintinnus apertus"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"				"Tintinnus inquilinum"		
20	"Ciliophora"	20	"iopan.pl"	"Salpingella laminata"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Ciliophora"	20	"iopan.pl"	"Ptychocylis acuta"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Diatomeae"	20	"iopan.pl"	"Pseudo-nitzschia pungens"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"				"Pseudonitzschia pungens"		
20	"Diatomeae"	20	"iopan.pl"	"Cylindrotheca closterium"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Diatomeae"	20	"iopan.pl"	"Chaetoceros diadema"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Diatomeae"	20	"iopan.pl"	"Chaetoceros socialis"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"						
20	"Diatomeae"	20	"iopan.pl"	"Navicula"	2010	"ICE2010"	"16-13"	"ICE10-undefined"	"Occurrence"	"present"	"20-0"	"incalculable"		"cf.kariana"				
