"maximumDepthInMeters"	"Class_phylum"	"magnification"	"cells_in_250_ml"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"initialVolume"	"gear"	"taxonRank"	"cell_size_in_classes_um"	"verbatimTaxon"	"organismRemarks"	"minimumDepthInMeters"	"lifeStage"	"col18"	"sampletype"	"occurrenceRemarks"	"log_no"
0	"Prymnesiophyceae"	60	0	"iopan.pl"	"cells/l"	"Prymnesiophyceae"	"indet."	2010	"ICE2010"	"R1"	"ICE10-16"	"Coccolithophora"	"Occurrence"	85747.9896907216	4287.39948453608	"l"	"present"	"incalculable"	194	16635.11	50	1											
0	"Cryptophyceae"	60	0	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	213270.641025641	10663.5320512821	"l"	"present"	"incalculable"	78	16635.11	50	1		"species"									
0	"Flagellatae"	60	0	"iopan.pl"	"cells/l"	"Eukaryota"	"incertae sedis"	2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	26885.0262626263	1344.25131313131	"l"	"present"	"incalculable"	198	16635.11	50	1			">7"	"Flagellatae"	"flagellate"						
0	"Flagellatae"	60	0	"iopan.pl"	"cells/l"	"Eukaryota"	"incertae sedis"	2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	319905.961538461	15995.2980769231	"l"	"present"	"incalculable"	52	16635.11	50	1			"3.0-7.0"	"Flagellatae"	"flagellate"						
0	"Diatomeae"	60	0	"iopan.pl"	"cells/l"	"Fragilariopsis cylindrus"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	30245.6545454545	1512.28272727273	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium"	"cf. gracilentum"	2010	"ICE2010"	"R1"	"ICE10-16"	"Gymnodinium cf gracilentum"	"Occurrence"	52089.7383838384	2604.48691919192	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	20163.7696969697	1008.18848484849	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium simplex"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	6721.25656565657	336.062828282828	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. ""kra"""	2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	1680.31414141414	84.0157070707071	"l"	"present"	"incalculable"	198	16635.11	50	1		"species"									
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Heterocapsa rotundata"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	10081.8848484849	504.094242424242	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Peridinea"	60	0	"iopan.pl"	"cells/l"	"Katodinium glaucum"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	5040.94242424242	252.047121212121	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Diatomeae"	60	0	"iopan.pl"	"cells/l"	"Leucocryptos marina"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	31925.9686868687	1596.29843434343	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Choanoflagellatea"	60	0	"iopan.pl"	"cells/l"	"Monosiga marina"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	20163.7696969697	1008.18848484849	"l"	"present"	"incalculable"	198	16635.11	50	1											
0	"Dictyochophyceae"	60	0	"iopan.pl"	"cells/l"	"Parapedinella reticulata"		2010	"ICE2010"	"R1"	"ICE10-16"		"Occurrence"	3360.62828282828	168.031414141414	"l"	"present"	"incalculable"	198	16635.11	50	1											
