"maximumDepthInMeters"	"magnification"	"Calculated_volume__m3_for_a_cell"	"Calculated_Carbon_pg_counting_unit_____Menden_Deuer__Lessard_2000"	"Calculated_volume__m3_cells_in_1000ml"	"Calculated_Carbon_pg_counting_unit_2____Menden_Deuer__Lessard_2000"	"mg"	"kto"	"minimumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"taxonRank"	"previousIdentifications"	"occurrenceRemarks"	"sp"	"verbatimTaxon"	"organismRemarks"	"lifeStage"
10	10	1471.6590177942	203.715797376597	"#REF!"	"#REF!"	"#REF!"	"AT"	10	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	127.076430722892	15	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	40.6644578313253	"Niskin bottle"	"microplankton"								
10	10	416.286944590909	38.3459976411873	7050	381	"#REF!"		10	"iopan.pl"	"cells/l"	"Pseudo-nitzschia pseudodelicatissima"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	16.9435240963855	2	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	5.42192771084337	"Niskin bottle"	"microplankton"								
10	10	2319.42621704692	312.281386319977	98200	10500	0.010525585975534	"AT"	10	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	42.3588102409638	5	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	13.5548192771084	"Niskin bottle"	"microplankton"								
10	10	13739.5967519106	"#REF!"	"#REF!"	"#REF!"	"#REF!"		10	"iopan.pl"	"cells/l"	"Tintinnopsis"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	25.4152861445783	3	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	8.13289156626506	"Niskin bottle"	"microplankton"	"sp."	"species"						
10	10	9875.67730751333	500.01868788835	"#REF!"	"#REF!"	"#REF!"		10	"iopan.pl"	"cells/l"	"Thalassiosira antarctica var. borealis"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	186.378765060241	22	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	59.6412048192771	"Niskin bottle"	"microplankton"		"variety"						
10	10	149776.657685832	"#REF!"	"#REF!"	"#REF!"	"#REF!"		10	"iopan.pl"	"cells/l"	"Leegaardiella sol"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	8.47176204819277	1	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	2.71096385542169	"Niskin bottle"	"microplankton"								
10	10	16168.546875	745.803918261242	"#REF!"	"#REF!"	"#REF!"		10	"iopan.pl"	"cells/l"	"Thalassiosira hyalina"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	16.9435240963855	2	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	5.42192771084337	"Niskin bottle"	"microplankton"								
10	10							10	"iopan.pl"	"cells/l"	"Polarella glacialis"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	93.1893825301205	11	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	29.8206024096385	"Niskin bottle"	"microplankton"								
10	10	11.5201602804909	"#REF!"	"#REF!"	"#REF!"	"#REF!"		10	"iopan.pl"	"cells/l"	"Ptychocylis obtusa"	2012	"ICE2012"	"R5"	"ICE12-65"	"Occurrence"	8.47176204819277	1	1.180391982578552	"l"	"present"	"verified"	166	450.02	10	100	32	2.71096385542169	"Niskin bottle"	"microplankton"								
0	10								"iopan.pl"	"cells/l"	"Polarella glacialis"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	585.963541666667	50	0.8532954090929293	"l"	"present"	"verified"	120	450.02	10	100	32	187.508333333333	"Niskin bottle"	"microplankton"								
0	10	88937.2291666667	"#REF!"	"#REF!"	"#REF!"	"#REF!"			"iopan.pl"	"cells/l"	"Protoperidinium pallidum"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	109.379861111111	14	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	35.0015555555556	"Niskin bottle"	"microplankton"								
0	10	1471.6590177942	203.715797376597	"#REF!"	"#REF!"	"#REF!"			"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	31.2513888888889	4	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	10.0004444444444	"Niskin bottle"	"microplankton"								
0	10	25195.7525	2932.91932677502	394000	38800	0.0388			"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	15.6256944444444	2	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	5.00022222222222	"Niskin bottle"	"microplankton"								
0	10	13739.5967519106	"#REF!"	"#REF!"	"#REF!"	"#REF!"			"iopan.pl"	"cells/l"	"Tintinnopsis"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	7.81284722222222	1	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	2.50011111111111	"Niskin bottle"	"microplankton"	"sp."	"species"						
0	10	42336	"#REF!"	"#REF!"	"#REF!"	"#REF!"			"iopan.pl"	"cells/l"	"Pinnularia semiinflata"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	7.81284722222222	1	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	2.50011111111111	"Niskin bottle"	"microplankton"								
0	10	434.5	39.7008836651493	3390	210	0.00021			"iopan.pl"	"cells/l"	"Nitzschia frigida"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	7.81284722222222	1	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	2.50011111111111	"Niskin bottle"	"microplankton"								
0	10	9875.67730751333	500.01868788835	"#REF!"	"#REF!"	"#REF!"			"iopan.pl"	"cells/l"	"Thalassiosira antarctica var. borealis"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	7.81284722222222	1	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	2.50011111111111	"Niskin bottle"	"microplankton"		"variety"						
0	10	48807	5456.8	381000	37600	0.0376	"AT"		"iopan.pl"	"cells/l"	"Tripos"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	7.81284722222222	1	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	2.50011111111111	"Niskin bottle"	"microplankton"	"sp."	"species"	"Ceratium"					
0	10	10603.31	1301.2	82800	8970	0.00897	"AT"		"iopan.pl"	"cells/l"	"Alexandrium"	2012	"ICE2012"	"R5"	"ICE12-64"	"Occurrence"	7.81284722222222	1	1.2799431136393937	"l"	"present"	"verified"	180	450.02	10	100	32	2.50011111111111	"Niskin bottle"	"microplankton"	"sp."	"species"						
20	10							20	"iopan.pl"	"cells/l"	"Protoperidinium pallidum"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	468.770833333333	22	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	150.006666666667	"Niskin bottle"	"microplankton"				"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Dinophysis acuminata"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	319.616477272727	15	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	102.277272727273	"Niskin bottle"	"microplankton"				"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Polarella glacialis"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	6392.32954545455	50	0.07821874583351851	"l"	"present"	"verified"	11	450.02	10	100	32	2045.54545454545	"Niskin bottle"	"microplankton"				"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Gymnodinium"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	21.3077651515152	1	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	6.81848484848485	"Niskin bottle"	"microplankton"	"sp."	"species"		"20-0"	"10-20um"			
20	10							20	"iopan.pl"	"cells/l"	"Alexandrium"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	149.154356060606	7	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	47.7293939393939	"Niskin bottle"	"microplankton"	"sp."	"species"		"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Tintinnopsis"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	42.6155303030303	2	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	13.6369696969697	"Niskin bottle"	"microplankton"	"sp."	"species"		"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	340.924242424242	16	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	109.095757575758	"Niskin bottle"	"microplankton"				"20-0"				
20	10						"AT"	20	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	213.077651515152	10	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	68.1848484848485	"Niskin bottle"	"microplankton"				"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Gymnodinium"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	106.538825757576	5	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	34.0924242424242	"Niskin bottle"	"microplankton"	"sp."	"species"		"20-0"	"5-10um"			
20	10							20	"iopan.pl"	"cells/l"	"Thalassiosira"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	42.6155303030303	2	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	13.6369696969697	"Niskin bottle"	"microplankton"	"sp."	"species"		"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	85.2310606060606	4	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	27.2739393939394	"Niskin bottle"	"microplankton"				"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Chaetoceros convolutus"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	63.9232954545455	3	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	20.4554545454545	"Niskin bottle"	"microplankton"				"20-0"				
20	10							20	"iopan.pl"	"cells/l"	"Phalacroma rotundatum"	2012	"ICE2012"	"R5"	"ICE12-67"	"Occurrence"	42.6155303030303	2	0.4693124750011111	"l"	"present"	"verified"	66	450.02	10	100	32	13.6369696969697	"Niskin bottle"	"microplankton"			"Phalacroma rotundata"	"20-0"				
