"maximumDepthInMeters"	"magnification"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"occurrenceRemarks"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"taxonRank"	"lifeStage"	"minimumDepthInMeters"	"organismRemarks"	"organismScope"	"verbatimTaxon"
0	60	"MR"	"cells/l"	"Attheya septentrionalis"	2014	"ICE2014"	"R4b"	"PHT-100"	"Attheya  septentrionalis"	"Occurrence"	12322.3037	4	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	616.1151852	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Cylindrotheca closterium"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	1191.37037	10	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	59.56851852	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Thalassiosira antarctica/pacifica"	2014	"ICE2014"	"R4b"	"PHT-100"	"Thalassiosira antarctica\pacyfica"	"Occurrence"	2978.425926	25	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	148.9212963	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Thalassiosira"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	238.2740741	2	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	11.9137037	"Niskin bottle"	"phytoplankton"	"cf. anguste-lineata"						
0	10	"MR"	"cells/l"	"Thalassiosira bioculata"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	1072.233333	9	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	53.61166667	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Thalassiosira nordenskioeldii"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	714.8222222	6	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	35.74111111	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Entomoneis"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	238.2740741	2	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	11.9137037	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Fragilariopsis cylindrus"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	9241.727778	3	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	462.0863889	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Fragilariopsis oceanica"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	9241.727778	3	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	462.0863889	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Navicula directa"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	119.137037	1	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	5.956851852	"Niskin bottle"	"phytoplankton"							
