"maximumDepthInMeters"	"magnification"	"minimumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"identificationRemarks"	"taxonRank"	"previousIdentifications"	"lifeStage"
5	10	5	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	2.4194623655914	2	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	14.5167741935484	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Chaetoceros concavicornis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	3.6291935483871	3	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	21.7751612903226	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Chaetoceros curvisetus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	3.6291935483871	3	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	21.7751612903226	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Chaetoceros debilis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	14.5167741935484	12	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	87.1006451612903	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Chaetoceros decipiens"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	13.3070430107527	11	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	79.8422580645161	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Chaetoceros furcellatus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	36.291935483871	30	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	217.751612903226	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Corethron"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	1.2097311827957	1	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	7.25838709677419	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
5	10	5	"iopan.pl"	"cells/l"	"Eucampia groenlandica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	1.2097311827957	1	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	7.25838709677419	"Niskin bottle"	"microplankton"					
5	60	5	"iopan.pl"	"cells/l"	"Gymnodinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	7.87647253787879	1	0.1269603867963602	"l"	"present"	"verified"	352	16635.11	50	250	30	47.2588352272727	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
5	10	5	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	1.2097311827957	1	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	7.25838709677419	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Protoperidinium pallidum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	1.2097311827957	1	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	7.25838709677419	"Niskin bottle"	"microplankton"					
5	60	5	"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	7.87647253787879	1	0.1269603867963602	"l"	"present"	"verified"	352	16635.11	50	250	30	47.2588352272727	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Rhizosolenia borealis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	2.4194623655914	2	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	14.5167741935484	"Niskin bottle"	"microplankton"					
5	10	5	"iopan.pl"	"cells/l"	"Thalassiosira"	2009	"MERCLIM-2009"	"V6"	"MER09-01-6"	"Occurrence"	2.4194623655914	2	0.8266299275587752	"l"	"present"	"verified"	62	450.02	50	250	30	14.5167741935484	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
17	10	17	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	69.9183615819209	11	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	83.9020338983051	"Niskin bottle"	"microplankton"					
17	40	17	"iopan.pl"	"cells/l"	"Alexandrium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	42.8239659367397	1	0.023351410317232604	"l"	"present"	"verified"	137	7040.26	10	250	30	51.3887591240876	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
17	10	17	"iopan.pl"	"cells/l"	"Chaetoceros concavicornis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	6.35621468926554	1	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	7.62745762711864	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Chaetoceros curvisetus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	133.480508474576	21	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	160.176610169492	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Chaetoceros debilis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	3125.13888888889	50	0.015999288920492422	"l"	"present"	"verified"	6	450.02	10	250	30	3750.16666666667	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Chaetoceros decipiens"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	25.4248587570622	4	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	30.5098305084746	"Niskin bottle"	"microplankton"					
