"maximumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"minimumDepthInMeters"	"occurrenceRemarks"	"previousIdentifications"	"lifeStage"	"magnification"
0	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	"sp."	2012	"MOSJ2012"	"KB5"	"MOSJ12-33"	"species"	"Occurrence"	463.102634803922	47	0.10148938154908117	"l"	"present"	"verified"	102	321.61	2	200	32	148.192843137255	"Niskin bottle"	"microplankton"					
0	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"			2012	"MOSJ2012"	"KB5"	"MOSJ12-33"		"Occurrence"	9.85324754901961	1	0.10148938154908117	"l"	"present"	"verified"	102	321.61	2	200	32	3.15303921568627	"Niskin bottle"	"microplankton"					
20	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	"sp."	2012	"MOSJ2012"	"KB5"	"MOSJ12-36"	"species"	"Occurrence"				"l"	"present"	"incalculable"							"Handnet"	"handnet"	20	"20-0"			
20	"iopan.pl"	"cells/l"	"Protoperidinium"	"sp."	"sp. 40-50um"	2012	"MOSJ2012"	"KB5"	"MOSJ12-36"	"species"	"Occurrence"				"l"	"present"	"incalculable"							"Handnet"	"handnet"	20	"20-0"	"Protoperidinium sp. 40-50um"		
0	"iopan.pl"	"cells/l"	"Strombidium conicum"			2012	"MOSJ2012"	"KB3"	"MOSJ12-71"		"Occurrence"	254.740594059406	4	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	12.7370297029703	"Niskin bottle"	"phytoplankton"					
0	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	"sp."	2012	"MOSJ2012"	"KB3"	"MOSJ12-71"	"species"	"Occurrence"	1719.49900990099	27	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	85.9749504950495	"Niskin bottle"	"phytoplankton"					
0	"iopan.pl"	"cells/l"	"Scrippsiella trochoidea"			2012	"MOSJ2012"	"KB3"	"MOSJ12-71"		"Occurrence"	2292.66534653465	36	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	114.633267326733	"Niskin bottle"	"phytoplankton"					
0	"iopan.pl"	"cells/l"	"Dinophysis contracta"		"Old Dinophysis rotundata"	2012	"MOSJ2012"	"KB3"	"MOSJ12-71"		"Occurrence"	127.370297029703	2	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	6.36851485148515	"Niskin bottle"	"phytoplankton"					
0	"iopan.pl"	"cells/l"	"Protoperidinium brevipes"			2012	"MOSJ2012"	"KB3"	"MOSJ12-71"		"Occurrence"	127.370297029703	2	0.015702248064425856	"l"	"present"	"verified"	101	321.61	50	1000	1	6.36851485148515	"Niskin bottle"	"phytoplankton"					
0	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"~3um"	2012	"MOSJ2012"	"KB3"	"MOSJ12-71"		"Occurrence"	8942.69275362319	7	0.0007827619927078345	"l"	"present"	"verified"	69	4407.47	50	1000	1	447.13463768116	"Niskin bottle"	"phytoplankton"			"Biflagellatae"		
