"maximumDepthInMeters"	"magnification"	"minimumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"taxonRank"	"lifeStage"	"occurrenceRemarks"
50	60	50	"iopan.pl"	"cells/l"	"Coccolithales"	"indet."	"non.det"	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"	"Coccolithales  non.det"	"Occurrence"	2132.70641025641	2	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	106.635320512821	"Niskin bottle"	"phytoplankton"			
50	60	50	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	"sp."	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	3199.05961538462	3	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	159.952980769231	"Niskin bottle"	"phytoplankton"	"species"		
50	60	50	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"5-10um"	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"	"Flagellatae"	"Occurrence"	1066.35320512821	1	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	53.3176602564103	"Niskin bottle"	"phytoplankton"			
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf. G. gracilentum"	"sp. cf g. gracilentum"	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	14928.9448717949	14	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	746.447243589744	"Niskin bottle"	"phytoplankton"	"species"		
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. „krasnal”"	"sp. „krasnal”"	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	2132.70641025641	2	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	106.635320512821	"Niskin bottle"	"phytoplankton"	"species"		
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	"sp. 10-20um"	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"	"Gymnodinium sp. 10-20um"	"Occurrence"	2132.70641025641	2	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	106.635320512821	"Niskin bottle"	"phytoplankton"	"species"		
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf. G. arcticum"	"sp. cf g.arcticum"	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	1066.35320512821	1	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	53.3176602564103	"Niskin bottle"	"phytoplankton"	"species"		
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"			2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	1066.35320512821	1	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	53.3176602564103	"Niskin bottle"	"phytoplankton"			
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium simplex"			2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	6398.11923076923	6	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	319.905961538462	"Niskin bottle"	"phytoplankton"			
50	60	50	"iopan.pl"	"cells/l"	"Lessardia elongata"			2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	1066.35320512821	1	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	53.3176602564103	"Niskin bottle"	"phytoplankton"			
50	60	50	"iopan.pl"	"cells/l"	"Scrippsiella"	"sp."	"sp."	2013	"MOSJ2013"	"KB5"	"MOSJ13-142"		"Occurrence"	1066.35320512821	1	0.0009377755842912972	"l"	"present"	"verified"	312	16635.11	50	1000	1	53.3176602564103	"Niskin bottle"	"phytoplankton"	"species"		
25	60	25	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	"sp."	2013	"MOSJ2013"	"KB5"	"MOSJ13-143"		"Occurrence"	1618.98880778589	2	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	80.9494403892944	"Niskin bottle"	"phytoplankton"	"species"		
25	60	25	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"<5um"	2013	"MOSJ2013"	"KB5"	"MOSJ13-143"	"Flagellatae"	"Occurrence"	3237.97761557178	4	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	161.898880778589	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"		"5-10um"	2013	"MOSJ2013"	"KB5"	"MOSJ13-143"	"Flagellatae"	"Occurrence"	6475.95523114355	8	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	323.797761557178	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf. G. gracilentum"	"sp. cf g. gracilentum"	2013	"MOSJ2013"	"KB5"	"MOSJ13-143"		"Occurrence"	18618.3712895377	23	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	930.918564476886	"Niskin bottle"	"phytoplankton"	"species"		
25	60	25	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf. G. arcticum"	"sp. cf g.arcticum"	2013	"MOSJ2013"	"KB5"	"MOSJ13-143"		"Occurrence"	1618.98880778589	2	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	80.9494403892944	"Niskin bottle"	"phytoplankton"	"species"		
25	60	25	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf. G. wulffii"	"sp. cf g.wulffii"	2013	"MOSJ2013"	"KB5"	"MOSJ13-143"		"Occurrence"	3237.97761557178	4	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	161.898880778589	"Niskin bottle"	"phytoplankton"	"species"		
