"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"lifeStage"	"occurrenceRemarks"	"verbatimTaxon"	"organismRemarks"
55	60	"AT"	55	"cells/l"	"Gymnodinium"	"sp. cf. G. gracilentum"	2014	"MOSJ2014"	"KB7"	"PHT-001"	"species"	"Occurrence"	18887.02445	13	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	944.3512227	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Eukaryota incertae sedis"	"indet."	2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	11622.78428	8	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	581.139214	"Niskin bottle"	"phytoplankton"	"Flagellatae"				
55	60	"AT"	55	"cells/l"	"Emiliania huxleyi"		2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	4358.544105	3	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	217.9272052	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Gymnodinium"	"sp. cf. G. wulffii"	2014	"MOSJ2014"	"KB7"	"PHT-001"	"species"	"Occurrence"	4358.544105	3	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	217.9272052	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Eukaryota incertae sedis"	"indet."	2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	4358.544105	3	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	217.9272052	"Niskin bottle"	"phytoplankton"	"Flagellatae"				
55	60	"AT"	55	"cells/l"	"Lohmanniella oviformis"		2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	1452.848035	1	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	72.64240175	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Coccolithales"	"indet."	2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	2905.69607	2	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	145.2848035	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Amphidinium sphenoides"		2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	1452.848035	1	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	72.64240175	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Teleaulax"	"sp."	2014	"MOSJ2014"	"KB7"	"PHT-001"	"species"	"Occurrence"	2905.69607	2	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	145.2848035	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Monosiga marina"		2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	1452.848035	1	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	72.64240175	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Heterocapsa rotundata"		2014	"MOSJ2014"	"KB7"	"PHT-001"		"Occurrence"	4358.544105	3	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	217.9272052	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Gymnodinium"	"sp. cf. G. simplex"	2014	"MOSJ2014"	"KB7"	"PHT-001"	"species"	"Occurrence"	1452.848035	1	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	72.64240175	"Niskin bottle"	"phytoplankton"					
55	60	"AT"	55	"cells/l"	"Cryptomonas"	"sp."	2014	"MOSJ2014"	"KB7"	"PHT-001"	"species"	"Occurrence"	1452.848035	1	0.0006883032333420097	"l"	"present"	"verified"	229	16635.11	50	1000	1	72.64240175	"Niskin bottle"	"phytoplankton"					
