"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"taxonRank"	"occurrenceRemarks"	"Taxon_full"	"K"	"verbatimTaxon"	"organismRemarks"
5	40	"JMW"	5	"cells/l"	"Prorocentrum cordatum"	2015	"MOSJ2015"	"KB2"	"PHT-28"	"Prorocentrum minimum"	"Occurrence"	12592.7714285714	3	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	629.638571428571	"Niskin bottle"	"phytoplankton"							
5	40	"JMW"	5	"cells/l"	"Statocysta of Dinobryon"	2015	"MOSJ2015"	"KB2"	"PHT-28"		"Occurrence"	4197.59047619048	1	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	209.879523809524	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
5	40	"JMW"	5	"cells/l"	"Cryptophyta"	2015	"MOSJ2015"	"KB2"	"PHT-28"		"Occurrence"	54568.6761904762	13	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	2728.43380952381	"Niskin bottle"	"phytoplankton"	"indet."						
5	40	"JMW"	5	"cells/l"	"Prymnesiophyceae"	2015	"MOSJ2015"	"KB2"	"PHT-28"		"Occurrence"	4197.59047619048	1	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	209.879523809524	"Niskin bottle"	"phytoplankton"	"indet."						
5	40	"JMW"	5	"cells/l"	"Gymnodinium simplex"	2015	"MOSJ2015"	"KB2"	"PHT-28"		"Occurrence"	8395.18095238095	2	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	419.759047619048	"Niskin bottle"	"phytoplankton"							
5	40	"JMW"	5	"cells/l"	"Telonema subtile"	2015	"MOSJ2015"	"KB2"	"PHT-28"	"Telonemma subtilis"	"Occurrence"	12592.7714285714	3	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	629.638571428571	"Niskin bottle"	"phytoplankton"							
5	40	"JMW"	5	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB2"	"PHT-28"	"Flagellates"	"Occurrence"	83951.8095238095	20	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	4197.59047619048	"Niskin bottle"	"phytoplankton"	"indet."						
5	40	"JMW"	5	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB2"	"PHT-28"	"Flagellates"	"Occurrence"	20987.9523809524	5	0.00023823191082412358	"l"	"present"	"verified"	21	4407.47	50	1000	1	1049.39761904762	"Niskin bottle"	"phytoplankton"	"indet."						
10	10	"JMW"	10	"cells/l"	"Acanthostomella norvegica"	2015	"MOSJ2015"	"KB2"	"PHT-27"	"Acantostomella norvegica"	"Occurrence"	47.6459259259259	1	0.0209881533534405	"l"	"present"	"verified"	135	321.61	50	1000	1	2.3822962962963	"Niskin bottle"	"phytoplankton"							
10	40	"JMW"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB2"	"PHT-27"	"Flagellates"	"Occurrence"	44074.7	9	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	2203.735	"Niskin bottle"	"phytoplankton"	"indet."						
10	40	"JMW"	10	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB2"	"PHT-27"	"Flagellates"	"Occurrence"	323214.466666667	66	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	16160.7233333333	"Niskin bottle"	"phytoplankton"	"indet."						
10	40	"JMW"	10	"cells/l"	"Phaeocystis pouchetii"	2015	"MOSJ2015"	"KB2"	"PHT-27"		"Occurrence"	333008.844444444	68	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	16650.4422222222	"Niskin bottle"	"phytoplankton"							
10	40	"JMW"	10	"cells/l"	"Gymnodinium"	2015	"MOSJ2015"	"KB2"	"PHT-27"		"Occurrence"	4897.18888888889	1	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	244.859444444444	"Niskin bottle"	"phytoplankton"	"sp. cf. G. Arcticum"	"species"					
10	40	"JMW"	10	"cells/l"	"Telonema subtile"	2015	"MOSJ2015"	"KB2"	"PHT-27"	"Telonemma subtilis"	"Occurrence"	14691.5666666667	3	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	734.578333333333	"Niskin bottle"	"phytoplankton"							
10	40	"JMW"	10	"cells/l"	"Gymnodiniales"	2015	"MOSJ2015"	"KB2"	"PHT-27"	"Gymnodiniales indet 10um"	"Occurrence"	88149.4	18	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	4407.47	"Niskin bottle"	"phytoplankton"	"indet."						
10	40	"JMW"	10	"cells/l"	"Cryptophyta"	2015	"MOSJ2015"	"KB2"	"PHT-27"		"Occurrence"	34280.3222222222	7	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	1714.01611111111	"Niskin bottle"	"phytoplankton"	"indet."						
10	40	"JMW"	10	"cells/l"	"Oxyrrhis marina"	2015	"MOSJ2015"	"KB2"	"PHT-27"	"Oxyrhis marina"	"Occurrence"	4897.18888888889	1	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	244.859444444444	"Niskin bottle"	"phytoplankton"							
10	40	"JMW"	10	"cells/l"	"Plagioselmis"	2015	"MOSJ2015"	"KB2"	"PHT-27"		"Occurrence"	9794.37777777778	2	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	489.718888888889	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	40	"JMW"	10	"cells/l"	"Statocysta of Dinobryon"	2015	"MOSJ2015"	"KB2"	"PHT-27"		"Occurrence"	4897.18888888889	1	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	244.859444444444	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
10	40	"JMW"	10	"cells/l"	"Prorocentrum cordatum"	2015	"MOSJ2015"	"KB2"	"PHT-27"	"Prorocentrum minimum"	"Occurrence"	4897.18888888889	1	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	244.859444444444	"Niskin bottle"	"phytoplankton"							
100	40	"iopan.pl"	100	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB1"	"PHT-29"		"Occurrence"	19588.7555555556	4	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	979.437777777778	"Niskin bottle"	"phytoplankton"			"Coccal cells"				
100	40	"iopan.pl"	100	"cells/l"	"Eukaryota incertae sedis"	2015	"MOSJ2015"	"KB1"	"PHT-29"	"Flagellates"	"Occurrence"	93046.5888888889	19	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	4652.32944444445	"Niskin bottle"	"phytoplankton"	"indet."						
100	40	"iopan.pl"	100	"cells/l"	"Gymnodinium"	2015	"MOSJ2015"	"KB1"	"PHT-29"	"Gymnodinium sp. 10um"	"Occurrence"	39177.5111111111	8	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	1958.87555555556	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
100	40	"iopan.pl"	100	"cells/l"	"Gymnodinium"	2015	"MOSJ2015"	"KB1"	"PHT-29"		"Occurrence"	14691.5666666667	3	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	734.578333333333	"Niskin bottle"	"phytoplankton"	"sp. cf. G. Arcticum"	"species"					
100	40	"iopan.pl"	100	"cells/l"	"Cryptophyta"	2015	"MOSJ2015"	"KB1"	"PHT-29"		"Occurrence"	19588.7555555556	4	0.00020419878070639162	"l"	"present"	"verified"	18	4407.47	50	1000	1	979.437777777778	"Niskin bottle"	"phytoplankton"	"indet."						
