"maximumDepthInMeters"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"sampleSizeUnit"	"occurrenceStatus"	"occurrenceRemarks"	"quantificationStatus"	"maxFields"	"gear"	"sampletype"	"previousIdentifications"	"identificationQualifier"	"taxonRank"	"lifeStage"	"foto"
20	"AT"	20	"cells/l"	"Chaetoceros concavicornis"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Tripos arcticus"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"	"Ceratium arcticum"				
20	"AT"	20	"cells/l"	"Rhizosolenia hebetata"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Phalacroma rotundatum"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"	"Dinophysis rotundata"				
20	"AT"	20	"cells/l"	"Pseudo-nitzschia"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"	"Pseudo-nitzschia delicatissima/pseudodelicatissima"	"spp. delicatissima/pseudodelicatissima"	"species"		
20	"AT"	20	"cells/l"	"Scrippsiella"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"		"sp."	"species"		
20	"AT"	20	"cells/l"	"Protoperidinium pallidum"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Acanthostomella norvegica"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Dinophyceae"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"	"Dinphyceae"	"indet."		"cyst"	
20	"AT"	20	"cells/l"	"Corethron hystrix"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Strombidium"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"		"sp."	"species"		
20	"AT"	20	"cells/l"	"Gymnodiniales"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"	"Gymnodiniales indet. 40-50um"	"indet."			
20	"AT"	20	"cells/l"	"Protoperidinium brevipes"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Chaetoceros decipiens"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Parafavella obtusangula"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"		"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Chaetoceros atlanticus"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Protoperidinium pellucidum"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Tintinnopsis"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"		"sp."	"species"		
20	"AT"	20	"cells/l"	"Leegaardiella sol"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Dinophysis acuminata"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Gymnodiniales"	2016	"MOSJ2016"	"V10"	"HAN-009"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"	450.02	"Handnet"	"handnet"	"Gymnodiniales indet. 30-40um"	"indet."			
20	"AT"	20	"cells/l"	"Acanthostomella norvegica"	2016	"MOSJ2016"	"R1"	"HAN-012"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"		"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Amylax triacantha"	2016	"MOSJ2016"	"R1"	"HAN-012"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"		"Handnet"	"handnet"					
20	"AT"	20	"cells/l"	"Tripos arcticus"	2016	"MOSJ2016"	"R1"	"HAN-012"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"		"Handnet"	"handnet"	"Ceratium arcticum"				
20	"AT"	20	"cells/l"	"Ciliophora"	2016	"MOSJ2016"	"R1"	"HAN-012"	"Occurrence"	"l"	"present"	"20 – 0"	"incalculable"		"Handnet"	"handnet"	"Ciliophora indet. 50-60um"	"indet."			
