"maximumDepthInMeters"	"magnification"	"identifiedBy"	"col21"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"gear"	"sampletype"	"identificationQualifier"	"previousIdentifications"	"individualCount"	"cellsInChamber"	"taxonRank"	"lifeStage"	"foto"	"occurrenceRemarks"
25	10	"AT"	"a lot of particle matter"	25	"cells/l"	"Eukaryota incertae sedis"	2016	"MOSJ2016"	"KB5"	"MIT-008"	"Occurrence"	0	2.6666666666666665	"l"	"present"	"incalculable"	127	450.02	10	90	24	"Niskin bottle"	"microplankton"								
50	10	"AT"		50	"cells/l"	"Gymnodiniales"	2016	"MOSJ2016"	"KB7"	"MIT-001"	"Occurrence"	1.33	0.7525591455194585	"l"	"present"	"verified"	127	450.02	10	90	24	"Niskin bottle"	"microplankton"	"indet."	"Gymnodiniales indet. 40-50um"	1	3.54				
50	10	"AT"		50	"cells/l"	"Rhizosolenia hebetata"	2016	"MOSJ2016"	"KB7"	"MIT-001"	"Occurrence"	17.27	0.7525591455194585	"l"	"present"	"verified"	127	450.02	10	90	24	"Niskin bottle"	"microplankton"			13	46.07				
50	10	"AT"		50	"cells/l"	"Protoperidinium pellucidum"	2016	"MOSJ2016"	"KB7"	"MIT-001"	"Occurrence"	3.99	0.7525591455194585	"l"	"present"	"verified"	127	450.02	10	90	24	"Niskin bottle"	"microplankton"			3	10.63				
50	10	"AT"		50	"cells/l"	"Ptychocylis obtusa"	2016	"MOSJ2016"	"KB7"	"MIT-001"	"Occurrence"	1.33	0.7525591455194585	"l"	"present"	"verified"	127	450.02	10	90	24	"Niskin bottle"	"microplankton"			1	3.54				
50	10	"AT"		50	"cells/l"	"Tintinnopsis"	2016	"MOSJ2016"	"KB7"	"MIT-001"	"Occurrence"	2.66	0.7525591455194585	"l"	"present"	"verified"	127	450.02	10	90	24	"Niskin bottle"	"microplankton"	"sp."		2	7.09	"species"			
50	10	"AT"		50	"cells/l"	"Navicula directa"	2016	"MOSJ2016"	"KB7"	"MIT-001"	"Occurrence"	1.33	0.7525591455194585	"l"	"present"	"verified"	127	450.02	10	90	24	"Niskin bottle"	"microplankton"			1	3.54				
25	10	"AT"		25	"cells/l"	"Rhizosolenia hebetata"	2016	"MOSJ2016"	"KB7"	"MIT-002"	"Occurrence"	4.78	0.6281202316934063	"l"	"present"	"verified"	106	450.02	10	90	24	"Niskin bottle"	"microplankton"			3	12.74				
25	10	"AT"		25	"cells/l"	"Parafavella obtusangula"	2016	"MOSJ2016"	"KB7"	"MIT-002"	"Occurrence"	3.18	0.6281202316934063	"l"	"present"	"verified"	106	450.02	10	90	24	"Niskin bottle"	"microplankton"			2	8.49				
25	10	"AT"		25	"cells/l"	"Gyrodinium fusiforme"	2016	"MOSJ2016"	"KB7"	"MIT-002"	"Occurrence"	1.59	0.6281202316934063	"l"	"present"	"verified"	106	450.02	10	90	24	"Niskin bottle"	"microplankton"			1	4.25				
5	10	"AT"		5	"cells/l"	"Rhizosolenia hebetata"	2016	"MOSJ2016"	"KB7"	"MIT-003"	"Occurrence"	22.07	0.7703361332088944	"l"	"present"	"verified"	130	450.02	10	90	24	"Niskin bottle"	"microplankton"			17	58.85				
5	10	"AT"		5	"cells/l"	"Protoperidinium pellucidum"	2016	"MOSJ2016"	"KB7"	"MIT-003"	"Occurrence"	1.3	0.7703361332088944	"l"	"present"	"verified"	130	450.02	10	90	24	"Niskin bottle"	"microplankton"			1	3.46				
5	10	"AT"		5	"cells/l"	"Phalacroma rotundatum"	2016	"MOSJ2016"	"KB7"	"MIT-003"	"Occurrence"	2.6	0.7703361332088944	"l"	"present"	"verified"	130	450.02	10	90	24	"Niskin bottle"	"microplankton"		"Dinophysis rotundata"	2	6.92				
5	10	"AT"		5	"cells/l"	"Gymnodiniales"	2016	"MOSJ2016"	"KB7"	"MIT-003"	"Occurrence"	3.89	0.7703361332088944	"l"	"present"	"verified"	130	450.02	10	90	24	"Niskin bottle"	"microplankton"	"indet."	"Gymnodiniales indet. 30-40um"	3	10.39				
5	10	"AT"		5	"cells/l"	"Ptychocylis obtusa"	2016	"MOSJ2016"	"KB7"	"MIT-003"	"Occurrence"	2.6	0.7703361332088944	"l"	"present"	"verified"	130	450.02	10	90	24	"Niskin bottle"	"microplankton"			2	6.92				
25	10	"AT"		25	"cells/l"	"Rhizosolenia hebetata"	2016	"MOSJ2016"	"KB6"	"MIT-004"	"Occurrence"	10.85	0.829592758840348	"l"	"present"	"verified"	140	450.02	10	90	24	"Niskin bottle"	"microplankton"			9	28.93				
25	10	"AT"		25	"cells/l"	"Dinophyceae"	2016	"MOSJ2016"	"KB6"	"MIT-004"	"Occurrence"	2.41	0.829592758840348	"l"	"present"	"verified"	140	450.02	10	90	24	"Niskin bottle"	"microplankton"	"indet."	"Dinophyceae indet. cyst"	2	6.43		"cyst"		
25	10	"AT"		25	"cells/l"	"Ptychocylis obtusa"	2016	"MOSJ2016"	"KB6"	"MIT-004"	"Occurrence"	1.21	0.829592758840348	"l"	"present"	"verified"	140	450.02	10	90	24	"Niskin bottle"	"microplankton"			1	3.21				
5	10	"AT"		5	"cells/l"	"Strombidium"	2016	"MOSJ2016"	"KB5"	"MIT-009"	"Occurrence"	3.25	0.6162689065671155	"l"	"present"	"verified"	104	450.02	10	90	24	"Niskin bottle"	"microplankton"	"sp."		2	8.65	"species"			
5	10	"AT"		5	"cells/l"	"Thalassiosira"	2016	"MOSJ2016"	"KB5"	"MIT-009"	"Occurrence"	1.62	0.6162689065671155	"l"	"present"	"verified"	104	450.02	10	90	24	"Niskin bottle"	"microplankton"	"spp. gravida/antarctica"	"Thalassiosira gravida/antarctica"	1	4.33	"species"			
50	10	"AT"		50	"cells/l"	"Protoperidinium pallidum"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	4.12	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"			3	10.98				
50	10	"AT"		50	"cells/l"	"Phalacroma rotundatum"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	56.25	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"		"Dinophysis rotundata"	41	150.01				
50	10	"AT"		50	"cells/l"	"Protoperidinium pellucidum"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	19.21	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"			14	51.22				
50	10	"AT"		50	"cells/l"	"Ptychocylis obtusa"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	9.6	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"			7	25.61				
50	10	"AT"		50	"cells/l"	"Gymnodiniales"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	6.86	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"	"indet."	"Gymnodiniales indet. 30-40um"	5	18.29				
50	10	"AT"		50	"cells/l"	"Dinophysis acuminata"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	2.74	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"			2	7.32				
50	10	"AT"		50	"cells/l"	"Strombidium"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	1.37	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"	"sp."		1	3.66	"species"			
50	10	"AT"		50	"cells/l"	"Scrippsiella"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	2.74	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"	"sp."		2	7.32	"species"			
50	10	"AT"		50	"cells/l"	"Tintinnopsis"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	5.49	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"	"sp."		4	14.63	"species"			
50	10	"AT"		50	"cells/l"	"Rhizosolenia hebetata"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	13.72	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"			10	36.59				
50	10	"AT"		50	"cells/l"	"Tripos arcticus"	2016	"MOSJ2016"	"KB3"	"MIT-010"	"Occurrence"	4.12	0.7288564952668772	"l"	"present"	"verified"	123	450.02	10	90	24	"Niskin bottle"	"microplankton"		"Ceratium arcticum"	3	10.98				
10	10	"AT"		10	"cells/l"	"Dictyocha speculum"	2016	"MOSJ2016"	"KB3"	"MIT-011"	"Occurrence"	1.36	0.7347821578300224	"l"	"present"	"verified"	124	450.02	10	90	24	"Niskin bottle"	"microplankton"			1	3.63				
10	10	"AT"		10	"cells/l"	"Phalacroma rotundatum"	2016	"MOSJ2016"	"KB3"	"MIT-011"	"Occurrence"	8.17	0.7347821578300224	"l"	"present"	"verified"	124	450.02	10	90	24	"Niskin bottle"	"microplankton"		"Dinophysis rotundata"	6	21.78				
10	10	"AT"		10	"cells/l"	"Protoperidinium pellucidum"	2016	"MOSJ2016"	"KB3"	"MIT-011"	"Occurrence"	12.25	0.7347821578300224	"l"	"present"	"verified"	124	450.02	10	90	24	"Niskin bottle"	"microplankton"			9	32.66				
10	10	"AT"		10	"cells/l"	"Fossula arctica"	2016	"MOSJ2016"	"KB3"	"MIT-011"	"Occurrence"	27.22	0.7347821578300224	"l"	"present"	"verified"	124	450.02	10	90	24	"Niskin bottle"	"microplankton"			20	72.58				
10	10	"AT"		10	"cells/l"	"Tintinnopsis"	2016	"MOSJ2016"	"KB3"	"MIT-011"	"Occurrence"	6.8	0.7347821578300224	"l"	"present"	"verified"	124	450.02	10	90	24	"Niskin bottle"	"microplankton"	"sp."		5	18.15	"species"			
10	10	"AT"		10	"cells/l"	"Leegaardiella sol"	2016	"MOSJ2016"	"KB3"	"MIT-011"	"Occurrence"	1.36	0.7347821578300224	"l"	"present"	"verified"	124	450.02	10	90	24	"Niskin bottle"	"microplankton"			1	3.63				
10	10	"AT"		10	"cells/l"	"Scrippsiella"	2016	"MOSJ2016"	"KB3"	"MIT-011"	"Occurrence"	4.08	0.7347821578300224	"l"	"present"	"verified"	124	450.02	10	90	24	"Niskin bottle"	"microplankton"	"sp."		3	10.89	"species"			
