"maximumDepthInMeters"	"magnification"	"foto"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"locationID"	"fieldNumber"	"taxonRank"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"add"	"lifeStage"	"identificationRemarks"	"organismRemarks"	"organismScope"	"occurrenceRemarks"
100	60	"+"	"AT"	100	"cells/l"	"Chrysochromulina"	"sp. cf. Ch. parkeae"	2016	"MOSJ2016"	"V12"	"PHT-038"	"species"	"Occurrence"	4775.63	3	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	238.7814833	"Niskin bottle"	"phytoplankton"							
100	60		"AT"	100	"cells/l"	"Coccolithophora"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	1591.877	1	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	79.59382775	"Niskin bottle"	"phytoplankton"	"Coccolithophores"						
100	60		"AT"	100	"cells/l"	"Coccolithus pelagicus"		2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	1591.877	1	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	79.59382775	"Niskin bottle"	"phytoplankton"							
100	60		"AT"	100	"cells/l"	"Emiliania huxleyi"		2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	7959.383	5	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	397.9691388	"Niskin bottle"	"phytoplankton"							
100	60		"AT"	100	"cells/l"	"Eukaryota incertae sedis"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	1591.877	1	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	79.59382775	"Niskin bottle"	"phytoplankton"	"Fagellates"						
100	60		"AT"	100	"cells/l"	"Eukaryota incertae sedis"	"indet."	2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	15918.766	10	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	795.9382775	"Niskin bottle"	"phytoplankton"	"Fagellates"						
100	60		"AT"	100	"cells/l"	"Fragilariopsis oceanica"		2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	1591.877	1	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	79.59382775	"Niskin bottle"	"phytoplankton"							
100	60		"AT"	100	"cells/l"	"Gymnodinium arcticum"		2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	3183.753	2	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	159.1876555	"Niskin bottle"	"phytoplankton"							
100	60		"AT"	100	"cells/l"	"Gymnodinium galeatum"		2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	6367.506	4	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	318.375311	"Niskin bottle"	"phytoplankton"							
100	60		"AT"	100	"cells/l"	"Gymnodinium gracilentum"		2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	25470.025	16	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	1273.501244	"Niskin bottle"	"phytoplankton"							
100	60		"AT"	100	"cells/l"	"Gymnodinium"	"sp."	2016	"MOSJ2016"	"V12"	"PHT-038"	"species"	"Occurrence"	1591.877	1	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	79.59382775	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"						
100	60		"AT"	100	"cells/l"	"Gyrodinium flagellare"		2016	"MOSJ2016"	"V12"	"PHT-038"		"Occurrence"	3183.753	2	0.0006281894138361573	"l"	"present"	"verified"	209	16635.11	50	1000	1	159.1876555	"Niskin bottle"	"phytoplankton"							
