"maximumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"occurrenceRemarks"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"minimumDepthInMeters"	"identificationQualifier"	"previousIdentifications"	"verbatimTaxon"	"taxonRank"	"organismRemarks"	"magnification"
0	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-99"	"Occurrence"	840.81045751634	20	0.023786573800565904	"l"	"present"	"sp."	"verified"	153	321.61	50	1000	1	42.040522875817	"Niskin bottle"	"phytoplankton"							
0	"iopan.pl"	"cells/l"	"Laboea strobila"	2011	"MOSJ2011"	"KB2"	"MOSJ11-99"	"Occurrence"	42.040522875817	1	0.023786573800565904	"l"	"present"		"verified"	153	321.61	50	1000	1	2.10202614379085	"Niskin bottle"	"phytoplankton"							
0	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2011	"MOSJ2011"	"KB2"	"MOSJ11-99"	"Occurrence"	42.040522875817	1	0.023786573800565904	"l"	"present"		"verified"	153	321.61	50	1000	1	2.10202614379085	"Niskin bottle"	"phytoplankton"							
0	"iopan.pl"	"cells/l"	"Cryptophyceae"	2011	"MOSJ2011"	"KB2"	"MOSJ11-99"	"Occurrence"	2733.31472868217	4	0.0014634245950624733	"l"	"present"	"Non det."	"verified"	129	4407.47	50	1000	1	136.665736434109	"Niskin bottle"	"phytoplankton"							
0	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-99"	"Occurrence"	683.328682170543	1	0.0014634245950624733	"l"	"present"	"sp. 5-10um"	"verified"	129	4407.47	50	1000	1	34.1664341085271	"Niskin bottle"	"phytoplankton"							
10	"iopan.pl"	"cells/l"	"Strombidium conicum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	432.416806722689	8	0.018500668511551258	"l"	"present"		"verified"	119	321.61	50	1000	1	21.6208403361345	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Didinium gargantua"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	54.0521008403361	1	0.018500668511551258	"l"	"present"		"verified"	119	321.61	50	1000	1	2.70260504201681	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Thalassiosira"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	216.208403361344	4	0.018500668511551258	"l"	"present"	"sp. cf t.hyalina"	"verified"	119	321.61	50	1000	1	10.8104201680672	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	540.521008403361	10	0.018500668511551258	"l"	"present"	"sp."	"verified"	119	321.61	50	1000	1	27.0260504201681	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	108.104201680672	2	0.018500668511551258	"l"	"present"		"verified"	119	321.61	50	1000	1	5.40521008403361	"Niskin bottle"	"phytoplankton"	10						
