"locality"	"magnification"	"identifiedBy"	"fi"	"fi_m"	"r_m"	"s_m2"	"organismQuantityType"	"scientificName"	"identificationQualifier"	"year"	"expedition"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"taxonRank"	"organismRemarks"	"organismScope"	"foto"	"lifeStage"	"identificationRemarks"	"verbatimTaxon"	"occurrenceRemarks"
"Floe3"	60	"AT"	9	0.09	0.045	0.0063585	"cells/l"	"Eukaryota incertae sedis"	"indet."	2015	"N-ICE2015"	"IAT-083"	"Flagellates"	"Occurrence"	16718.70351758794	2	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	167.187035175879	"Niskin bottle"	"microplankton"								
"Floe3"	60	"AT"					"cells/l"	"Fragilariopsis cylindrus"		2015	"N-ICE2015"	"IAT-083"		"Occurrence"	8359.35175879397	1	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	83.5935175879397	"Niskin bottle"	"microplankton"								
"Floe3"	60	"AT"					"cells/l"	"Gymnodinium"	"sp."	2015	"N-ICE2015"	"IAT-083"	"Gymnodinium sp. 10-20um"	"Occurrence"	50156.11055276382	6	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	501.561105527638	"Niskin bottle"	"microplankton"	"species"							
"Floe3"	60	"AT"					"cells/l"	"Gymnodinium"	"sp. cf. G.gracilentum"	2015	"N-ICE2015"	"IAT-083"		"Occurrence"	25078.05527638191	3	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	250.780552763819	"Niskin bottle"	"microplankton"	"species"							
"Floe3"	60	"AT"					"cells/l"	"Eukaryota incertae sedis"		2015	"N-ICE2015"	"IAT-083"		"Occurrence"	2132706.4102564105	50	0.00002344438960728243	"l"	"present"	"calculated"	39	16635.11	10	2500	2.5	21327.0641025641	"Niskin bottle"	"microplankton"		"Mesodinium rubrum symbiont"	"symbiont"					
"Floe3"	60	"AT"					"cells/l"	"Nitzschia frigida"		2015	"N-ICE2015"	"IAT-083"		"Occurrence"	16718.70351758794	2	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	167.187035175879	"Niskin bottle"	"microplankton"								
"Floe3"	60	"AT"					"cells/l"	"Oxyrrhis"	"sp."	2015	"N-ICE2015"	"IAT-083"		"Occurrence"	8359.35175879397	1	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	83.5935175879397	"Niskin bottle"	"microplankton"	"species"							
"Floe3"	60	"AT"					"cells/l"	"Pauliella taeniata"		2015	"N-ICE2015"	"IAT-083"		"Occurrence"	16718.70351758794	2	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	167.187035175879	"Niskin bottle"	"microplankton"								
"Floe3"	60	"AT"					"cells/l"	"Porosira glacialis"		2015	"N-ICE2015"	"IAT-083"		"Occurrence"	16718.70351758794	2	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	167.187035175879	"Niskin bottle"	"microplankton"								
"Floe3"	60	"AT"					"cells/l"	"Pseudo-nitzschia"	"spp. delicatissima/pseudodelicatissima"	2015	"N-ICE2015"	"IAT-083"	"Pseudo-nitzschia delicatissima/pseudodelicatissima"	"Occurrence"	25078.05527638191	3	0.00011962650081664623	"l"	"present"	"calculated"	199	16635.11	10	2500	2.5	250.780552763819	"Niskin bottle"	"microplankton"	"species"							
"Floe3"	60	"AT"					"cells/l"	"Dinobryon"	"sp. statocysts"	2015	"N-ICE2015"	"IAT-085"		"Occurrence"	7959.382775119618	1	0.00012563788276723147	"l"	"present"	"calculated"	209	16635.11	10	2000	2	79.5938277511962	"Niskin bottle"	"microplankton"	"species"							
"Floe3"	60	"AT"					"cells/l"	"Coccolithales"	"indet."	2015	"N-ICE2015"	"IAT-085"		"Occurrence"	7959.382775119618	1	0.00012563788276723147	"l"	"present"	"calculated"	209	16635.11	10	2000	2	79.5938277511962	"Niskin bottle"	"microplankton"								
"Floe3"	60	"AT"					"cells/l"	"Eukaryota incertae sedis"	"indet."	2015	"N-ICE2015"	"IAT-085"	"Flagellates"	"Occurrence"	15918.765550239235	2	0.00012563788276723147	"l"	"present"	"calculated"	209	16635.11	10	2000	2	159.187655502392	"Niskin bottle"	"microplankton"								
