"maximumDepthInMeters"	"magnification"	"identifiedBy"	"minimumDepthInMeters"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"previousIdentifications"	"lifeStage"	"taxonRank"	"add"	"foto"	"organismRemarks"	"organismScope"	"occurrenceRemarks"	"verbatimTaxon"	"col21"
1	60	"AT"	1	"cells/l"	"Algirosphaera robusta"	2015	"N-ICE2015"	"Floe3"	"PHT-109"	"Occurrence"	7493.293	1	0.00013345267930299227	"l"	"present"	"verified"	222	16635.11	10	3700	3.7	74.9329279279279	"Niskin bottle"	"microplankton"											
1	60	"AT"	1	"cells/l"	"Coccolithales"	2015	"N-ICE2015"	"Floe3"	"PHT-109"	"Occurrence"	14986.586	2	0.00013345267930299227	"l"	"present"	"verified"	222	16635.11	10	3700	3.7	149.865855855856	"Niskin bottle"	"microplankton"	"indet."	"Coccolithales indet. 6-10um"									
1	60	"AT"	1	"cells/l"	"Dinobryon balticum"	2015	"N-ICE2015"	"Floe3"	"PHT-109"	"Occurrence"	7493.293	1	0.00013345267930299227	"l"	"present"	"verified"	222	16635.11	10	3700	3.7	74.9329279279279	"Niskin bottle"	"microplankton"											
1	60	"AT"	1	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-109"	"Occurrence"	22479.878	3	0.00013345267930299227	"l"	"present"	"verified"	222	16635.11	10	3700	3.7	224.798783783784	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
1	60	"AT"	1	"cells/l"	"Gymnodinium simplex"	2015	"N-ICE2015"	"Floe3"	"PHT-109"	"Occurrence"	7493.293	1	0.00013345267930299227	"l"	"present"	"verified"	222	16635.11	10	3700	3.7	74.9329279279279	"Niskin bottle"	"microplankton"											
1	60	"AT"	1	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-109"	"Occurrence"	7493.293	1	0.00013345267930299227	"l"	"present"	"verified"	222	16635.11	10	3700	3.7	74.9329279279279	"Niskin bottle"	"microplankton"											
1	60	"AT"	1	"cells/l"	"Polarella glacialis"	2015	"N-ICE2015"	"Floe3"	"PHT-109"	"Occurrence"	7493.293	1	0.00013345267930299227	"l"	"present"	"verified"	222	16635.11	10	3700	3.7	74.9329279279279	"Niskin bottle"	"microplankton"		"Polarella glacialis cyst"	"cyst"								
1	60	"AT"	1	"cells/l"	"Dinobryon"	2015	"N-ICE2015"	"Floe3"	"PHT-110"	"Occurrence"	16718.704	2	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	167.187035175879	"Niskin bottle"	"microplankton"	"sp."	"Dinobryon sp. statospores"	"statospores"	"species"							
1	60	"AT"	1	"cells/l"	"Teleaulax"	2015	"N-ICE2015"	"Floe3"	"PHT-110"	"Occurrence"	8359.352	1	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	83.5935175879397	"Niskin bottle"	"microplankton"	"sp."			"species"							
1	60	"AT"	1	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-110"	"Occurrence"	8359.352	1	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	83.5935175879397	"Niskin bottle"	"microplankton"											
1	60	"AT"	1	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-110"	"Occurrence"	25078.055	3	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	250.780552763819	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
1	60	"AT"	1	"cells/l"	"Dinobryon"	2015	"N-ICE2015"	"Floe3"	"PHT-111"	"Occurrence"	25078.055	3	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	250.780552763819	"Niskin bottle"	"microplankton"	"sp."	"Dinobryon sp. statospores"	"statospores"	"species"							
1	60	"AT"	1	"cells/l"	"Cryptophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-111"	"Occurrence"	33437.407	4	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	334.374070351759	"Niskin bottle"	"microplankton"	"indet."										
1	60	"AT"	1	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-111"	"Occurrence"	25078.055	3	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	250.780552763819	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
1	60	"AT"	1	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-111"	"Occurrence"	8359.352	1	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	83.5935175879397	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
1	60	"AT"	1	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-111"	"Occurrence"	16718.704	2	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	167.187035175879	"Niskin bottle"	"microplankton"											
1	60	"AT"	1	"cells/l"	"Lessardia elongata"	2015	"N-ICE2015"	"Floe3"	"PHT-111"	"Occurrence"	16718.704	2	0.00011962650081664625	"l"	"present"	"verified"	199	16635.11	10	3700	3.7	167.187035175879	"Niskin bottle"	"microplankton"											
100	60	"MR"	100	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	4377.661	3	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	218.883026315789	"Niskin bottle"	"microplankton"	"indet."	"Biflagellates"									
100	60	"MR"	100	"cells/l"	"Cryptophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	2918.44	2	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	145.92201754386	"Niskin bottle"	"microplankton"	"indet."				"6-10um"	"'+"					
100	60	"MR"	100	"cells/l"	"Dicroerisma psilonereiella"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	1459.22	1	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	72.9610087719298	"Niskin bottle"	"microplankton"						"'+"					
100	60	"MR"	100	"cells/l"	"Dinobryon"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	1459.22	1	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	72.9610087719298	"Niskin bottle"	"microplankton"	"sp."	"Dinobryon sp. statospores"	"statospores"	"species"							
100	60	"MR"	100	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	4377.661	3	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	218.883026315789	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
100	60	"MR"	100	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	4377.661	3	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	218.883026315789	"Niskin bottle"	"microplankton"											
100	60	"MR"	100	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	7296.101	5	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	364.805043859649	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 10-20um"		"species"	"10-20um"	"'+"					
100	60	"MR"	100	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	1459.22	1	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	72.9610087719298	"Niskin bottle"	"microplankton"	"sp. cf. G. wulffii"			"species"							
100	60	"MR"	100	"cells/l"	"Heterocapsa"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	2918.44	2	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	145.92201754386	"Niskin bottle"	"microplankton"	"sp. cf. H. niei"			"species"		"'+"					
100	10	"MR"	100	"cells/l"	"Lessardia elongata"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	91.889	1	0.010882746183265445	"l"	"present"	"verified"	70	321.61	50	3700	3.7	4.59442857142857	"Niskin bottle"	"microplankton"											
100	60	"MR"	100	"cells/l"	"Mesodinium rubrum"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	2918.44	2	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	145.92201754386	"Niskin bottle"	"microplankton"											
100	60	"MR"	100	"cells/l"	"Pyramimonas"	2015	"N-ICE2015"	"Floe3"	"PHT-112"	"Occurrence"	1459.22	1	0.0006852975423667172	"l"	"present"	"verified"	228	16635.11	50	3700	3.7	72.9610087719298	"Niskin bottle"	"microplankton"	"sp. cf. P. nansenii"			"species"							
50	60	"MR"	50	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"	"indet."	"Biflagellates"									
50	60	"MR"	50	"cells/l"	"Cryptophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"	"indet."										
50	60	"MR"	50	"cells/l"	"Cryptophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	5198.472	4	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	259.92359375	"Niskin bottle"	"microplankton"	"indet."				"6-10um"						
50	60	"MR"	50	"cells/l"	"Dinophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"	"indet. encysting"					"'+"					
50	60	"MR"	50	"cells/l"	"Dinophysis contracta"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"						"'+"					
50	60	"MR"	50	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	6498.09	5	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	324.9044921875	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
50	60	"MR"	50	"cells/l"	"Gymnodinium arcticum"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"											
50	60	"MR"	50	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"											
50	60	"MR"	50	"cells/l"	"Gymnodinium simplex"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"											
50	60	"MR"	50	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	3898.854	3	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	194.9426953125	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 10-20um"		"species"	"10-20um"						
50	60	"MR"	50	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 7-10um"		"species"	"<10um"						
50	60	"MR"	50	"cells/l"	"Mesodinium rubrum"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	74095.25	51	0.0006883032333420098	"l"	"present"	"verified"	229	16635.11	50	3700	3.7	3704.76248908297	"Niskin bottle"	"microplankton"						"'+"					
50	60	"MR"	50	"cells/l"	"Protoperidinium"	2015	"N-ICE2015"	"Floe3"	"PHT-113"	"Occurrence"	1299.618	1	0.0007694568896749104	"l"	"present"	"verified"	256	16635.11	50	3700	3.7	64.9808984375	"Niskin bottle"	"microplankton"	"sp."			"species"							
25	60	"MR"	25	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-114"	"Occurrence"	7285.45	6	0.0008235593272301776	"l"	"present"	"verified"	274	16635.11	50	3700	3.7	364.272481751825	"Niskin bottle"	"microplankton"	"indet."	"Biflagellates"									
25	10	"MR"	25	"cells/l"	"Bacillariophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-114"	"Occurrence"	105.446	1	0.009483535959702746	"l"	"present"	"verified"	61	321.61	50	3700	3.7	5.27229508196721	"Niskin bottle"	"microplankton"	"indet."	"Centriceae"									
25	60	"MR"	25	"cells/l"	"Dinophyceae"	2015	"N-ICE2015"	"Floe3"	"PHT-114"	"Occurrence"	1214.242	1	0.0008235593272301776	"l"	"present"	"verified"	274	16635.11	50	3700	3.7	60.7120802919708	"Niskin bottle"	"microplankton"	"indet. encysting"				"Złote (cysta Polarella glacialis)"	"'+"					
25	60	"MR"	25	"cells/l"	"Eukaryota incertae sedis"	2015	"N-ICE2015"	"Floe3"	"PHT-114"	"Occurrence"	1214.242	1	0.0008235593272301776	"l"	"present"	"verified"	274	16635.11	50	3700	3.7	60.7120802919708	"Niskin bottle"	"microplankton"	"indet."	"Flagellates"									
25	60	"MR"	25	"cells/l"	"Gymnodinium gracilentum"	2015	"N-ICE2015"	"Floe3"	"PHT-114"	"Occurrence"	2428.483	2	0.0008235593272301776	"l"	"present"	"verified"	274	16635.11	50	3700	3.7	121.424160583942	"Niskin bottle"	"microplankton"											
25	60	"MR"	25	"cells/l"	"Gymnodinium"	2015	"N-ICE2015"	"Floe3"	"PHT-114"	"Occurrence"	9713.933	8	0.0008235593272301776	"l"	"present"	"verified"	274	16635.11	50	3700	3.7	485.696642335766	"Niskin bottle"	"microplankton"	"sp."	"Gymnodinium sp. 10-20um"		"species"	"10-20um"	"'+"					
