"scientificName"	"basisOfRecord"	"occurrenceID"
"Acanthostomella norvegica"	"Occurrence"	0
"Achnanthes longipes"	"Occurrence"	1
"Actiniscus pentasterias"	"Occurrence"	2
"Actinocyclus"	"Occurrence"	3
"Alexandrium"	"Occurrence"	4
"Alexandrium minutum"	"Occurrence"	5
"Algirosphaera"	"Occurrence"	6
"Algirosphaera robusta"	"Occurrence"	7
"Amphidinium"	"Occurrence"	8
"Amphidinium crassum"	"Occurrence"	9
"Amphidinium longum"	"Occurrence"	10
"Amphidinium sphenoides"	"Occurrence"	11
"Amphidoma acuminata"	"Occurrence"	12
"Amphora"	"Occurrence"	13
"Amylax triacantha"	"Occurrence"	14
"Anisonema"	"Occurrence"	15
"Apedinella radians"	"Occurrence"	16
"Arcocellulus cornucervis"	"Occurrence"	17
"Asteromphalus"	"Occurrence"	18
"Asteromphalus hyalinus"	"Occurrence"	19
"Attheya decora"	"Occurrence"	20
"Attheya longicornis"	"Occurrence"	21
"Attheya septentrionalis"	"Occurrence"	22
"Azadinium"	"Occurrence"	23
"Azadinium spinosum"	"Occurrence"	24
"Bacillaria paxillifera var. tumidula"	"Occurrence"	25
"Bacillariophyceae"	"Occurrence"	26
"Bacterosira"	"Occurrence"	27
"Bacterosira bathyomphala"	"Occurrence"	28
"Bicosta"	"Occurrence"	29
"Bicosta minor"	"Occurrence"	30
"Bicosta spinifera"	"Occurrence"	31
"Calciodinelloideae"	"Occurrence"	32
"Calliacantha natans"	"Occurrence"	33
"Calycomonas"	"Occurrence"	34
"Calycomonas wulffii"	"Occurrence"	35
"Calyptrosphaera sphaeroidea"	"Occurrence"	36
"Cerataulina pelagica"	"Occurrence"	37
"Ceratoneis closterium"	"Occurrence"	38
"Chaetoceros affinis"	"Occurrence"	39
"Chaetoceros atlanticus"	"Occurrence"	40
"Chaetoceros"	"Occurrence"	41
"Chaetoceros borealis"	"Occurrence"	42
"Chaetoceros brevis"	"Occurrence"	43
"Chaetoceros concavicornis"	"Occurrence"	44
"Chaetoceros constrictus"	"Occurrence"	45
"Chaetoceros convolutus"	"Occurrence"	46
"Chaetoceros convolutus f. trisetosa"	"Occurrence"	47
"Chaetoceros curvisetus"	"Occurrence"	48
"Chaetoceros danicus"	"Occurrence"	49
"Chaetoceros debilis"	"Occurrence"	50
"Chaetoceros decipiens"	"Occurrence"	51
"Chaetoceros diadema"	"Occurrence"	52
"Chaetoceros eibenii"	"Occurrence"	53
"Chaetoceros furcellatus"	"Occurrence"	54
"Chaetoceros gelidus"	"Occurrence"	55
"Chaetoceros holsaticus"	"Occurrence"	56
"Chaetoceros laciniosus"	"Occurrence"	57
"Chaetoceros lorenzianus"	"Occurrence"	58
"Chaetoceros similis"	"Occurrence"	59
"Chaetoceros simplex"	"Occurrence"	60
"Chaetoceros socialis"	"Occurrence"	61
"Chaetoceros subtilis"	"Occurrence"	62
"Chaetoceros tenuissimus"	"Occurrence"	63
